date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,349.59,3.0612
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,195.12,1.7086
2002-05-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,242.53,2.1237
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,189.04,1.6553
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,191.74,1.679
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,353.53,3.0957
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,186.26,1.631
2002-05-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,419.14,3.6703
2002-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,222.26,1.8843
2002-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,216.97,1.8395
2002-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,306.89,2.6018
2002-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,212.99,1.8058
2002-06-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,269.88,2.2881
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,187.82,1.5924
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,193.11,1.6372
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,343.93,2.9159
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,191.8,1.6261
2002-06-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,412.71,3.499
2002-07-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,233.48,1.9295
2002-07-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,233.42,1.9291
2002-07-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,294.45,2.4334
2002-07-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,230.86,1.9079
2002-07-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,269.11,2.2241
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,229.08,1.8932
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,231.71,1.915
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,345.1,2.8521
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,229.14,1.8937
2002-07-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,406.29,3.3578
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,216.45,1.6805
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,219.81,1.7066
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,276.85,2.1494
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,219.81,1.7066
2002-08-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,241.63,1.876
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,204.99,1.5915
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,207.49,1.611
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,322.14,2.5011
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,204.11,1.5847
2002-08-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,372.76,2.8941
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,135.46,1.0783
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,141.68,1.1278
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,288.51,2.2966
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,163.37,1.3004
2002-09-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,171.56,1.3656
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,133.06,1.0592
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,129.37,1.0298
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,266.19,2.1189
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,130.61,1.0396
2002-09-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,263.76,2.0996
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,112.5,0.8858
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,120.0,0.9449
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,290.0,2.2835
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,130.0,1.0236
2002-10-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,157.5,1.2402
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Maize,KG,actual,Wholesale,NGN,102.29,0.8054
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Millet,KG,actual,Wholesale,NGN,101.47,0.799
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Rice (imported),KG,actual,Wholesale,NGN,207.85,1.6366
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,cereals and tubers,Sorghum,KG,actual,Wholesale,NGN,103.11,0.8119
2002-10-15,Sokoto,Gada,Illela (CBM),13.645,5.278,pulses and nuts,Beans (niebe),KG,actual,Wholesale,NGN,181.64,1.4302
2002-11-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Maize,KG,actual,Wholesale,NGN,98.33,0.7706
2002-11-15,Katsina,Jibia,Jibia (CBM),13.08,7.24,cereals and tubers,Millet,KG,actual,Wholesale,NGN,130.0,1.0188
